osm_id;construction_year;building_type;height
27267895;1965;MFH;4
27267914;1970;MFH;12.86
27267918;1952;AB;3
59082234;;;5.09
96580926;1953;TH;3.6
96580928;1967;SFH;4
96580929;1958;TH;3.75
96580931;1961;TH;3.5
102540560;1957;SFH;5.5
102540564;1977;SFH;4.6
102541480;1970;SFH;5.8
102541481;1963;SFH;5.67
102541482;1961;SFH;4.75
102541483;1952;SFH;5.5
102543880;1972;SFH;5
102543881;1977;SFH;3.25
102543882;1970;SFH;6
102543883;1951;SFH;4
102543885;1976;SFH;3.75
102543886;1975;SFH;3
102543887;1972;SFH;7.8
102543888;1978;SFH;5
102543889;1949;SFH;6.67
102543892;1968;SFH;4.75
102543894;1962;SFH;4
102543898;1973;SFH;3.4
102544926;1971;SFH;7.5
102544928;1950;SFH;6.5
102544931;1958;SFH;4.67
102544933;1949;SFH;4.25
102544935;1954;SFH;5.75
102544939;1975;SFH;7.33
102548133;1971;SFH;3.5
102548137;1964;SFH;5
102548140;1949;SFH;3.25
102548142;1978;TH;3.25
102548154;1974;TH;3.25
102548157;1964;SFH;4.8
102548159;1963;SFH;4.75
102548161;1974;TH;3.33
102548169;1958;SFH;3
102548174;1969;TH;3.67
102548181;1978;SFH;5.25
102549072;1958;TH;6.75
102549073;1956;TH;9.67
102549077;1957;SFH;5.75
102549079;1953;TH;9.75
102549080;1950;TH;9.33
102549084;1962;SFH;4.33
102549087;1960;SFH;6.67
102549088;1977;SFH;6.67
102549089;1952;TH;9.67
102549091;1952;TH;6.25
102549092;1975;SFH;9.5
102549093;1960;SFH;5.5
102549095;1963;TH;9.67
102549096;1951;SFH;5.5
102549097;1972;TH;5.75
102549098;1973;SFH;5.67
102549101;1963;SFH;6.6
102570205;1971;TH;4.75
102570207;1972;TH;3.25
102570215;1978;SFH;3.25
102570218;1962;TH;4.25
102570220;1953;SFH;4
102570222;1963;SFH;6.5
102570225;1968;TH;6
102570228;1961;SFH;4.33
102570233;1969;SFH;3
102570237;1966;SFH;5.5
102570241;1959;TH;3.75
102570246;1972;TH;3.5
102570260;1950;SFH;7
102570266;1951;SFH;9.25
102570272;1958;SFH;3.67
102570284;1970;SFH;3.67
102570293;1968;TH;3.67
102570297;1952;SFH;6.33
102570307;1952;TH;5
102570325;1964;SFH;5
102570332;1956;TH;3.33
102570337;1972;SFH;9.33
102570344;1969;TH;3
102570354;1953;SFH;6.5
102570358;1954;TH;3
102570372;1978;TH;4
102570392;1966;SFH;4.33
102570397;1970;TH;3
102570406;1954;SFH;5
102570411;1977;TH;4.33
102570426;1968;SFH;7.75
102570433;1978;TH;5.67
102570440;1975;TH;9.3
102570454;1976;SFH;4.25
102570456;1974;SFH;4
102570464;1962;TH;4
102573139;1969;TH;7.25
102573141;1960;SFH;4.5
102573142;1963;SFH;3.67
102573145;1952;SFH;5.4
102573148;1949;SFH;6.75
102573149;1970;SFH;6.75
102573936;1952;TH;6.5
102573937;1954;SFH;5.6
102573938;1973;MFH;8.5
102573939;1958;SFH;8
102573940;1966;SFH;8
102573941;1959;SFH;7.5
102573942;1954;SFH;6
102573943;1977;SFH;8.67
102573944;1962;SFH;6.8
102573945;1952;SFH;6.25
102573946;1973;SFH;6.8
102573948;1951;SFH;8.5
102573950;1951;SFH;8.67
102577086;1956;SFH;7
102577087;1965;SFH;4.25
102577088;1970;SFH;7
102577090;1951;SFH;3.25
102577091;1968;TH;5.8
102577092;1977;SFH;7.5
102577093;1953;TH;7
102577096;1954;SFH;7
102577098;1976;TH;4.25
102577099;1949;SFH;7
102577101;1952;SFH;7
102577102;1962;SFH;6.75
102577109;1964;SFH;3
102577111;1958;MFH;8.25
102577114;1974;SFH;9.5
102577115;1959;SFH;7
102577117;1951;SFH;3.33
102577119;1953;SFH;5
102577120;1975;SFH;3.33
102577121;1969;SFH;7
102577122;1976;SFH;6
102577123;1962;SFH;6.67
102577125;1977;TH;6.5
102577127;1971;SFH;8.33
102577130;1951;SFH;8.75
102577134;1960;SFH;5.67
102577135;1974;MFH;8
102577136;1959;SFH;8.5
102577138;1962;SFH;5.6
102577139;1963;SFH;6.75
102577142;1953;TH;3.75
102577150;1974;SFH;6.75
102577152;1959;SFH;5.4
102578156;1958;MFH;15.2
102578158;1953;SFH;4
102578161;1974;MFH;13.25
102578167;1971;TH;3.8
102578168;;;8.25
102578169;1974;SFH;3.4
102578171;1969;MFH;13
102578173;1970;TH;3.6
102578175;1974;MFH;14
102578176;1977;MFH;12
102578177;;;6
102578178;1959;MFH;15
102578180;;;8
102578181;;;7.25
102578184;;;7.5
102578185;1972;TH;3.4
102578187;1952;MFH;12.8
102578189;1951;MFH;11.5
102578190;1956;MFH;13.8
102578193;1978;MFH;12
102578195;1963;MFH;11.25
102578197;1971;MFH;11.83
102578199;1960;TH;3.6
102578200;1971;MFH;11.4
102582937;1968;MFH;9
102582938;1949;TH;9.5
102582939;1950;TH;9.67
102582940;1972;TH;9.67
102582942;1965;TH;10
102582944;1960;TH;10.25
102582945;1964;TH;9.67
102582946;1956;TH;8.5
102582947;1965;TH;9.67
102582948;1972;TH;9
102582950;1950;TH;9.33
102582951;1957;TH;8.75
102582952;1957;TH;9.33
102582953;1951;TH;11
102582954;1972;MFH;8.75
102582955;1962;TH;9.33
102582956;1978;TH;8.75
102590092;1969;SFH;6
102590096;1958;SFH;5.67
102590109;1972;TH;8
102590124;1975;MFH;9
102590136;1962;SFH;7.33
102590139;1958;MFH;9
102590147;1949;SFH;9.25
102590154;1960;SFH;7.75
102590160;1965;SFH;6
102590169;1952;SFH;9.33
102590171;;;7.33
102590175;1969;MFH;9
102590181;1954;MFH;9
102590183;;;9
102590195;1969;SFH;11.25
102590196;1953;SFH;7.67
102590199;1968;MFH;8.2
102590205;1967;MFH;8.75
102590208;1971;SFH;8.6
102590217;1975;MFH;9
102590231;1954;MFH;9
102590240;1950;TH;9
102682369;1965;TH;7.33
102682372;1951;MFH;6.5
102682374;1962;TH;9
102682380;1956;MFH;10
102685272;1967;MFH;8
102685274;1970;MFH;7.33
102685275;1964;MFH;7.5
102687721;1957;MFH;8.6
102687722;1965;MFH;8.4
102687730;1958;MFH;9.17
102687731;1971;MFH;8
102687733;1977;MFH;9.5
102687739;1962;MFH;9.6
102687740;1954;MFH;8.67
102870289;1970;SFH;7.67
288807596;;;6.5
288808336;;;6.33
485018055;;;7.33
521103514;1975;MFH;6.75
521103515;1961;SFH;3
521103520;1960;SFH;4.4
521103524;1956;AB;3
521103525;1972;AB;3
521103526;1971;AB;3.5
956162159;1973;TH;3.5
956162160;1953;TH;4
956162161;1973;TH;4.2
956162162;1969;SFH;4.4
956162163;1962;TH;4.4
956162164;1956;TH;4
