building_type;construction_year_lb;construction_year_ub;roof;wall;floor;window;door
SFH;1919;1948;1.40;1.70;0.77;2.80;3.00
SFH;1949;1957;1.40;1.40;0.78;2.80;3.00
SFH;1958;1968;0.80;1.20;1.08;2.80;3.00
SFH;1969;1978;0.50;1.00;0.77;2.80;3.00
SFH;1979;1983;0.50;0.80;0.65;4.30;3.00
SFH;1984;1994;0.40;0.50;0.51;3.20;3.00
SFH;1995;2001;0.35;0.30;0.40;1.90;2.00
SFH;2002;2009;0.25;0.30;0.28;1.40;2.00
SFH;2010;2015;0.20;0.28;0.35;1.30;1.80
TH;1919;1948;0.65;1.70;0.77;2.80;3.00
TH;1949;1957;0.65;1.20;1.29;2.80;3.00
TH;1958;1968;0.51;1.20;1.08;2.80;3.00
TH;1969;1978;0.51;1.00;0.77;2.80;3.00
TH;1979;1983;0.50;0.80;0.65;2.80;3.00
TH;1984;1994;0.40;0.60;0.51;2.80;3.00
TH;1995;2001;0.35;0.60;0.45;1.60;2.00
TH;2002;2009;0.20;0.30;0.28;1.30;2.00
TH;2010;2015;0.20;0.28;0.35;1.30;1.80
MFH;1919;1948;1.40;1.70;0.77;3.00;3.00
MFH;1949;1957;1.08;1.20;1.33;3.00;3.00
MFH;1958;1968;0.51;1.20;1.08;3.00;3.00
MFH;1969;1978;0.51;1.00;0.77;3.00;4.00
MFH;1979;1983;0.43;0.80;0.65;3.00;4.00
MFH;1984;1994;0.36;0.60;0.51;3.00;4.00
MFH;1995;2001;0.32;0.40;0.40;1.90;2.00
MFH;2002;2009;0.20;0.25;0.32;1.40;3.00
MFH;2010;2015;0.20;0.28;0.35;1.30;1.80
AB;1919;1948;0.65;1.40;0.77;3.00;3.00
AB;1949;1957;1.08;1.20;1.29;3.00;3.00
AB;1958;1968;0.51;1.20;1.08;3.00;3.00
AB;1969;1978;0.51;1.10;0.77;3.00;4.00
